"id","name","codeKLADR","isTerminal"
"0x801cd2a9373ce5da4821dcf6c631f58e","Неелово-1&nbsp;д&nbsp;(Псковская&nbsp;обл.)","6002500047400000000000000","0"
"0x805900112fdd658311da3bc904f59a69","Санкт-Петербург","7800000000000000000000000","1"
"0x805900112fdd658311da3bd294d6d7c0","Волхов&nbsp;г&nbsp;(Ленинградская&nbsp;обл.)","4700400100000000000000000","0"
"0x805900112fdd658311da3bd294d6d7c1","Пушкин&nbsp;г&nbsp;(г.&nbsp;Санкт-Петербург)","7800000900000000000000000","1"
"0x805900112fdd658311da3be3037f91dd","Орел&nbsp;г&nbsp;(Орловская&nbsp;обл.)","5700000100000000000000000","1"
"0x805ac42493f9f6e149a9afb7e8d444f9","Талдыкорган&nbsp;г.&nbsp;(Алматинская&nbsp;область)","9993981901000100000000000","0"
"0x806200112fdd658311da447fea961ee2","Сочи&nbsp;г&nbsp;(Краснодарский&nbsp;край)","2300000700000000000000000","1"
"0x807a057510a6f5154c2692918f473506","Андреевский&nbsp;п&nbsp;(Омская&nbsp;обл.)","5502100000300000000000000","0"
"0x8094001a64963cbd11e1be8f1d5012cf","Серебряные&nbsp;Пруды&nbsp;рп&nbsp;(Московская&nbsp;обл.)","5000004300000000000000000","0"
"0x8094001a64963cbd11e1bf46f20406e4","Любим&nbsp;г&nbsp;(Ярославская&nbsp;обл.)","7600700100000000000000000","0"
"0x80bb751207ac22af4e3fe0eac953b5a1","Усть-Цильма&nbsp;с&nbsp;(Респ.&nbsp;Коми)","1101900000100000000000000","0"
"0x80cd001a64963cbd11e26c1ddab6fbc8","Яр&nbsp;п&nbsp;(Респ.&nbsp;Удмуртская)","1802600000100000000000000","0"
"0x80cd001a64963cbd11e26e76213a1f74","Николаевский&nbsp;п&nbsp;(Респ.&nbsp;Бурятия)","301900001600000000000000","0"
"0x80d579bc635dc35b4943d8121ac1d92c","Ильинское-Хованское&nbsp;п&nbsp;(Ивановская&nbsp;обл.)","3700600000100000000000000","0"
"0x810ee61f132874ef11e105ef5c938528","Амурск&nbsp;г&nbsp;(Хабаровский&nbsp;край)","2700000300000000000000000","0"
